Parameters,Algorithms,Value
RF Full Features,Precision,85.4184704184704
RF Full Features,Recall,66.20936670033292
RF Full Features,F1 Score,67.01189324999142
RF Full Features,Accuracy,86.6
AC Full Features,Precision,63.946683845899976
AC Full Features,Recall,65.78739552030989
AC Full Features,F1 Score,63.413858921976505
AC Full Features,Accuracy,83.39999999999999
ETC Full Features,Precision,79.65050151145257
ETC Full Features,Recall,62.49205102308009
ETC Full Features,F1 Score,64.12554682606616
ETC Full Features,Accuracy,85.7
GBM Full Features,Precision,76.34983809715126
GBM Full Features,Recall,67.36659226839903
GBM Full Features,F1 Score,66.64820310027379
GBM Full Features,Accuracy,86.2
VC(LR+SGD) Full Features,Precision,84.44607363962203
VC(LR+SGD) Full Features,Recall,66.15304845862583
VC(LR+SGD) Full Features,F1 Score,63.70335606658212
VC(LR+SGD) Full Features,Accuracy,86.3
CNN Full Features,Precision,86.9107854679255
CNN Full Features,Recall,69.63521989052232
CNN Full Features,F1 Score,72.50281990559891
CNN Full Features,Accuracy,87.8
RFCNN Full Features,Precision,90.00819000819001
RFCNN Full Features,Recall,93.73219373219372
RFCNN Full Features,F1 Score,91.57894736842105
RFCNN Full Features,Accuracy,92.0
RF Selected Features,Precision,91.86280728697182
RF Selected Features,Recall,97.64778325123153
RF Selected Features,F1 Score,94.2952455278581
RF Selected Features,Accuracy,96.0
AC Selected Features,Precision,93.6230964467005
AC Selected Features,Recall,98.0582922824302
AC Selected Features,F1 Score,95.58712121212119
AC Selected Features,Accuracy,97.0
ETC Selected Features,Precision,93.06989037653278
ETC Selected Features,Recall,97.9351395730706
ETC Selected Features,F1 Score,95.19135832870153
ETC Selected Features,Accuracy,96.7
GBM Selected Features,Precision,94.19981888443573
GBM Selected Features,Recall,98.18144499178982
GBM Selected Features,F1 Score,95.99027685159291
GBM Selected Features,Accuracy,97.3
VC(LR+SGD) Selected Features,Precision,93.25176897068563
VC(LR+SGD) Selected Features,Recall,97.97619047619047
VC(LR+SGD) Selected Features,F1 Score,95.32247389437299
VC(LR+SGD) Selected Features,Accuracy,96.8
CNN Selected Features,Precision,96.08712121212122
CNN Selected Features,Recall,98.55090311986864
CNN Selected Features,F1 Score,97.24683918232306
CNN Selected Features,Accuracy,98.2
RFCNN Selected Features,Precision,95.83333333333334
RFCNN Selected Features,Recall,99.39024390243901
RFCNN Selected Features,F1 Score,97.47008547008548
RFCNN Selected Features,Accuracy,98.5
